nome,desconto_percentual,preco_em_reais,menor_preco_historico,avaliacao_percentual,data_fim,data_inicio,data_lancamento,safra
Counter-Strike,90.0,2.06,1.99,96.35,2023-07-13 14:00:00,2023-06-29 14:06:11,2000-10-31 21:00:00,202409
Team Fortress Classic,90.0,1.08,,84.18,2023-07-13 14:00:00,2023-06-29 14:06:11,1999-03-31 21:00:00,202409
Day of Defeat,90.0,1.08,,87.11,2023-07-13 14:00:00,2023-06-29 14:06:11,2003-04-30 21:00:00,202409
Deathmatch Classic,90.0,1.08,,78.97,2023-07-13 14:00:00,2023-06-29 14:06:11,2001-05-31 21:00:00,202409
Half-Life: Opposing Force,90.0,1.08,,92.78,2023-07-13 14:00:00,2023-06-29 14:06:11,1999-10-31 21:00:00,202409
Ricochet,90.0,1.69,1.14,79.45,2023-07-13 14:00:00,2023-06-29 14:06:11,2000-10-31 21:00:00,202409
Half-Life,90.0,2.06,1.99,95.02,2023-07-13 14:00:00,2023-06-29 14:06:11,1998-11-07 21:00:00,202409
Counter-Strike: Condition Zero,90.0,2.06,1.99,89.28,2023-07-13 14:00:00,2023-06-29 14:06:11,2004-02-29 21:00:00,202409
Half-Life: Blue Shift,90.0,1.08,,89.3,2023-07-13 14:00:00,2023-06-29 14:06:11,2001-05-31 21:00:00,202409
Half-Life 2,90.0,3.29,1.99,96.26,2023-07-13 14:00:00,2023-06-29 14:06:11,2004-11-15 21:00:00,202409
Counter-Strike: Source,90.0,3.29,2.06,94.99,2023-07-13 14:00:00,2023-06-29 14:06:11,2004-10-31 21:00:00,202409
Half-Life: Source,90.0,3.29,1.69,69.77,2023-07-13 14:00:00,2023-06-29 14:06:11,2004-05-31 21:00:00,202409
Day of Defeat: Source,90.0,3.29,1.99,89.31,2023-07-13 14:00:00,2023-06-29 14:06:11,2010-07-11 21:00:00,202409
Half-Life 2: Deathmatch,90.0,1.69,1.15,88.05,2023-07-13 14:00:00,2023-06-29 14:06:11,2004-10-31 21:00:00,202409
Half-Life Deathmatch: Source,90.0,3.29,1.69,72.21,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-04-30 21:00:00,202409
Half-Life 2: Episode One,90.0,2.64,1.39,93.6,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-05-31 21:00:00,202409
Portal,90.0,3.29,1.99,97.11,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-10-09 21:00:00,202409
Half-Life 2: Episode Two,90.0,1.65,1.59,95.03,2023-07-13 14:00:00,2023-06-29 14:06:11,2007-10-09 21:00:00,202409
Left 4 Dead,90.0,3.29,2.06,94.47,2023-07-13 14:00:00,2023-06-29 14:06:11,2008-11-16 21:00:00,202409
Left 4 Dead 2,90.0,3.29,,96.72,2023-07-13 14:00:00,2023-06-29 14:06:11,2009-11-15 21:00:00,202409
Portal 2,90.0,3.29,2.06,97.71,2023-07-13 14:00:00,2023-06-29 14:06:11,2011-04-17 21:00:00,202409
Red Orchestra: Ostfront 41-45,50.0,5.44,2.54,83.45,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-03-13 21:00:00,202409
Killing Floor,75.0,8.74,3.74,93.36,2023-07-13 14:00:00,2023-06-29 14:06:11,2009-05-13 21:00:00,202409
SiN Episodes: Emergence,75.0,5.17,,85.01,2023-07-13 14:00:00,2023-06-29 14:06:11,2006-05-09 21:00:00,202409
Darwinia,80.0,6.59,2.59,75.52,2023-07-13 14:00:00,2023-06-29 14:06:11,2005-07-13 21:00:00,202409
